164,AERO COMMANDER/685A,3,60.0,20.0,733.5
165,AERO COMMANDER/680T,2,150.0,80.0,1363.5
166,AERO COMMANDER/680V,2,150.0,80.0,1363.5
167,AERO COMMANDER/680W,2,150.0,80.0,1363.5
168,AERO COMMANDER/681,2,150.0,80.0,1363.5
169,AERO COMMANDER/690,2,150.0,80.0,1363.5
170,AERO COMMANDER/690A,2,150.0,80.0,1746.0
171,AERO COMMANDER/720,3,60.0,20.0,1354.5
172,AERO COMMANDER/1121,1,1000.0,500.0,2826.0
173,AERO COMMANDER/1121A,1,1000.0,500.0,2826.0
174,AERO COMMANDER/1121B,1,1000.0,500.0,2826.0
175,AERO COMMANDER/S2C,3,30000.0,10.0,805.5
176,AERO COMMANDER/600 S-2D,3,30000.0,10.0,864.0
177,AERO COMMANDER/600 S-2D RESTRICTED,3,30000.0,10.0,864.0
178,AERO COMMANDER/S2R,3,30000.0,10.0,864.0
179,AERO COMMANDER/CALLAIR A-9,3,30000.0,10.0,594.0
180,AERO COMMANDER/CALLAIR A-9A,3,30000.0,10.0,594.0
181,AERO COMMANDER/CALLAIR A-9B,3,30000.0,10.0,594.0
182,AERO COMMANDER/CALLAIR B-1,3,30000.0,10.0,580.5
183,AERO COMMANDER/CALLAIR B-1A,3,30000.0,10.0,580.5
184,AERO COMMANDER/112,3,30000.0,10.0,877.5
185,AERO SPACELINES/377MGT-1,2,300.0,160.0,2623.5
186,AERO SPACELINES/377SGT,2,300.0,160.0,2623.5
187,AERO Z/BUECKER 131,3,30000.0,10.0,594.0
188,AEROMARINE-KLEMM/L-26-A,3,30000.0,10.0,486.0
189,AERONCA/C-2,3,30000.0,10.0,346.5
190,AERONCA/C-2 STANDARD,3,30000.0,10.0,346.5
191,AERONCA/C-2 SCOUT,3,30000.0,10.0,346.5
192,AERONCA-HESS/C2,3,30000.0,10.0,346.5
193,AERONCA/CF,3,30000.0,10.0,454.5
194,AERONCA/KC,3,30000.0,10.0,454.5
195,AERONCA/C-3,3,30000.0,10.0,454.5
196,AERONCA/PC-3,3,30000.0,10.0,454.5
197,AERONCA/K,3,30000.0,10.0,513.0
198,AERONCA/KS,3,30000.0,10.0,513.0
199,AERONCA/KCA,3,30000.0,10.0,513.0
200,AERONCA/KM,3,30000.0,10.0,544.5
201,AERONCA/LB,3,30000.0,10.0,567.0
202,AERONCA/LC,3,30000.0,10.0,567.0
203,AERONCA/50-F,3,30000.0,10.0,544.5
204,AERONCA/50-TL,3,30000.0,10.0,544.5
205,AERONCA/50-C,3,30000.0,10.0,544.5
206,AERONCA/50-L,3,30000.0,10.0,544.5
207,AERONCA/60-TF,3,30000.0,10.0,544.5
208,AERONCA/65-TC,3,30000.0,10.0,544.5
209,AERONCA/65-TF,3,30000.0,10.0,544.5
210,AERONCA/65-TL,3,30000.0,10.0,544.5
211,AERONCA/65-TAC,3,30000.0,10.0,513.0
212,AERONCA/65-TAF,3,30000.0,10.0,513.0
213,AERONCA/65-TAL,3,30000.0,10.0,513.0
214,AERONCA/65-C,3,30000.0,10.0,544.5
215,AERONCA/65-CA,3,30000.0,10.0,544.5
216,AERONCA/S-65-C,3,30000.0,10.0,513.0
217,AERONCA/S-65-CA,3,30000.0,10.0,513.0
218,AERONCA/65-LA,3,30000.0,10.0,544.5
219,AERONCA/65-LB,3,30000.0,10.0,544.5
220,AERONCA/0-58A,3,30000.0,10.0,513.0
221,AERONCA/0-58B,3,30000.0,10.0,513.0
222,AERONCA/L-3B,3,30000.0,10.0,513.0
223,AERONCA/L-3C,3,30000.0,10.0,513.0
224,AERONCA/SO-58B,3,30000.0,10.0,513.0
225,AERONCA/YO-58,3,30000.0,10.0,544.5
226,AERONCA/L-3,3,30000.0,10.0,544.5
227,AERONCA/11AC,3,30000.0,10.0,544.5
228,AERONCA/S11AC,3,30000.0,10.0,544.5
229,AERONCA/11BC,3,30000.0,10.0,544.5
230,AERONCA/S11BC,3,30000.0,10.0,544.5
231,AERONCA/11CC,3,30000.0,10.0,544.5
232,AERONCA/S11CC,3,30000.0,10.0,544.5
233,AERONCA/15AC,3,30000.0,10.0,616.5
234,AERONCA/S15AC,3,30000.0,10.0,616.5
235,AETNA/AEROCRAFT 2SA,3,30000.0,10.0,715.5
236,AIRCRAFT BUILDERS/STUDENT PRINCE X,3,30000.0,10.0,454.5
237,BUSHMASTER/2000,3,90.0,30000.0,702.0
238,AIRCRAFT MANUFACTURING/TEXAS BULLET 205,3,30000.0,10.0,949.5
